,year,month,type,sex,age,fatal,area,location,sum,latitude,longitude,link
1057,1925,3,unprovoked,Male,16,No,new south wales,coogee,6.0,-33.9217004,151.2557975,http://sharkattackfile.net/spreadsheets/pdf_directory/1925.03.27-Dagworthy.pdf
1058,1925,3,unprovoked,Male,16,Yes,new south wales,newcastle beach,3.0,-32.93076175,151.78509594452277,http://sharkattackfile.net/spreadsheets/pdf_directory/1925.03.12-Canning.pdf
1059,1924,10,unprovoked,Male,unknown,No,victoria,port melbourne,3.0,-37.8333613,144.9219203,http://sharkattackfile.net/spreadsheets/pdf_directory/1924.10.18-White.pdf
1060,1924,4,unprovoked,Male,20,Yes,new south wales,kiama,1.0,-34.6958202,150.79591231385055,http://sharkattackfile.net/spreadsheets/pdf_directory/1924.04.25-Conroy.pdf
1061,1924,4,unclear,Male,unknown,Missing,western australia,fremantle,3.0,-32.0558714,115.7461693,http://sharkattackfile.net/spreadsheets/pdf_directory/1924.04.20-Knight.pdf
1062,1924,2,unprovoked,Female,30,No,new south wales,bronte,1.0,-33.9042128,151.2637774,http://sharkattackfile.net/spreadsheets/pdf_directory/1924.02.13-Derritt.pdf
1063,1924,2,unclear,Male,unknown,Missing,queensland,currumbin,2.0,-28.1369655,153.4799277,http://sharkattackfile.net/spreadsheets/pdf_directory/1924.02.08-Dullroy.pdf
1064,1924,1,unprovoked,Male,16,Yes,new south wales,"near asbestos works, camellia, parramatta river",1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1924.01.19-Brown.pdf
1065,1923,12,unprovoked,Male,unknown,No,new south wales,"murwillumbah, tweed river",1.0,-28.3267617,153.3971541,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.12.12-Wohill.pdf
1066,1923,12,unprovoked,Male,unknown,Yes,new south wales,"urunga, belliger heads",1.0,-30.4983386,153.0166289,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.12.02 - Elton.pdf
1067,1923,11,unprovoked,Male,unknown,Yes,western australia,"condon, 88 km ne of port hedland",1.0,-20.3111814,118.5801181,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.11.23-KoepangIslanders.pdf
1068,1923,11,unclear,Male,unknown,Missing,new south wales,bellinger head,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.11.02-BellingerHead.pdf
1069,1923,10,unclear,Male,unknown,Missing,new south wales,"botany bay, sydney",3.0,-33.981732550000004,151.17954913553183,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.10.20-BotanyBay.pdf
1070,1923,10,unclear,Missing,unknown,No,new south wales," black head, south of taree",1.0,-31.912864,152.4608481,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.10.17-boat-Taree.pdf
1071,1923,10,unprovoked,Male,unknown,No,queensland,near thursday island,9.0,-10.5844089,142.2192935,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.10.16-Amano.pdf
1072,1923,7,unprovoked,Male,unknown,No,queensland,great barrier reef,6.0,-16.35,145.9,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.07.02-Mildred-Diver.pdf
1073,1923,6,unclear,Male,unknown,Yes,new south wales,bellambi reef,2.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.06.16-Rigby.pdf
1074,1923,5,unprovoked,Male,unknown,No,western australia,"southgates, near geraldton",1.0,-28.77035,114.6147159,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.05.23.R-Evensen.pdf
1075,1923,5,unprovoked,Male,unknown,Yes,queensland,great barrier reef,6.0,-16.35,145.9,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.05.22-Masoyo.pdf
1076,1923,3,unprovoked,Male,unknown,No,queensland,"ross river, townsville",7.0,-19.3090595,146.7688108,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.03.18-Solomon.pdf
1077,1923,1,unclear,Male,unknown,Missing,western australia,bunbury,7.0,-33.3267797,115.636698,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.01.27.b-Hayes.pdf
1078,1923,1,unprovoked,Male,13,Yes,western australia,"in swan river at freshwater bay, claremont, 5 miles from river mouth",1.0,-33.8333914,138.6120042,http://sharkattackfile.net/spreadsheets/pdf_directory/1923.01.27.a-Robertson.pdf
1079,1922,12,unprovoked,Male,19,Yes,queensland,pialba beach near maryborough,1.0,-25.537583,152.7019182,http://sharkattackfile.net/spreadsheets/pdf_directory/1922.12.05-Gassman.pdf
1080,1922,10,unclear,Male,unknown,Missing,new south wales,"botany bay, sydney",3.0,-33.981732550000004,151.17954913553183,http://sharkattackfile.net/spreadsheets/pdf_directory/1922.10.29-HRW.pdf
1081,1922,4,unprovoked,Male,unknown,Yes,new south wales,hawkesbury river,3.0,-33.52604685,151.21518219333777,http://sharkattackfile.net/spreadsheets/pdf_directory/1922.04.26-Munro.pdf
1082,1922,3,unprovoked,Male,21,Yes,new south wales,coogee,6.0,-33.9217004,151.2557975,http://sharkattackfile.net/spreadsheets/pdf_directory/1922.03.02-Gannon.pdf
1083,1922,2,unclear,Male,unknown,Missing,new south wales,"bilgola beach, sydney",1.0,-33.6443165,151.324484,http://sharkattackfile.net/spreadsheets/pdf_directory/1922.02.22.R-Whiteley.pdf
1084,1922,2,unprovoked,Male,18,Yes,new south wales,coogee ,1.0,-33.9217004,151.2557975,http://sharkattackfile.net/spreadsheets/pdf_directory/1922.02.04-Coughlan.pdf
1085,1922,1,unprovoked,Male,54,Yes,queensland,"ross river, townsville",7.0,-19.3090595,146.7688108,http://sharkattackfile.net/spreadsheets/pdf_directory/1922.01.15-Milroy.pdf
1086,1922,1,unprovoked,Male,unknown,No,new south wales,"stockton beach, newcastle",4.0,-32.844154849999995,151.86571447066012,http://sharkattackfile.net/spreadsheets/pdf_directory/1922.01.13-Bevan.pdf
1087,1922,1,unprovoked,Male,26,Yes,new south wales,"stockton beach, newcastle",4.0,-32.844154849999995,151.86571447066012,http://sharkattackfile.net/spreadsheets/pdf_directory/1922.01.04-JManningRowe.pdf
1088,1921,12,unprovoked,Male,20,No,queensland,fitzroy river at  rockhampton,1.0,-23.3782137,150.5134227,http://sharkattackfile.net/spreadsheets/pdf_directory/1921.12.11-Murphy.pdf
1089,1921,11,unprovoked,Male,8,Yes,queensland,"gays corner, bulimba reach of brisbane river",2.0,-27.4689682,153.0234991,http://sharkattackfile.net/spreadsheets/pdf_directory/1921.11.27.a-b-Jack.pdf
1090,1921,11,unprovoked,Male,40,No,queensland,"gays corner, bulimba reach of brisbane river",2.0,-27.4689682,153.0234991,http://sharkattackfile.net/spreadsheets/pdf_directory/1921.11.27.a-b-Jack.pdf
1091,1921,10,unprovoked,Male,unknown,No,queensland,off hinchinbrook island,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1921.10.12-Hinchinbrook-Island.pdf
1092,1921,10,unprovoked,Male,22,Yes,queensland,barrier reef,1.0,-16.35,145.9,http://sharkattackfile.net/spreadsheets/pdf_directory/1921.10.04-Schamok.pdf
1093,1921,8,unprovoked,Male,unknown,No,queensland,unknown,unknown,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1921.08.29.R-Hayadi.pdf
1094,1920,11,unprovoked,Male,unknown,No,western australia,bunbury,7.0,-33.3267797,115.636698,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.11.29-Gibbs.pdf
1095,1920,11,unprovoked,Male,unknown,No,western australia,cottesloe beach,3.0,-31.9957,115.751,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.11.22-Davies.pdf
1096,1920,7,unprovoked,Male,unknown,No,queensland,200 miles from mackay,1.0,-21.141956,149.1865149,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.07.05.R-Japanese-DIver.pdf
1097,1920,3,unprovoked,Male,20,No,queensland,"between bay rock & magnetic island, cleveland bay",1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.03.08-Burgess.pdf
1098,1920,1,unprovoked,Male,unknown,No,queensland,unknown,unknown,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.01.24.R.b-TorresStrait-diver.pdf
1099,1920,1,unprovoked,Male,unknown,Yes,queensland,arlington reef,1.0,-16.6905453,145.97448044198165,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.01.24.R.a-JapaneseDiver.pdf
1100,1920,1,unprovoked,Male,12,Yes,new south wales,"throsby creek, newcastle",2.0,-32.9147339,151.7599966,http://sharkattackfile.net/spreadsheets/pdf_directory/1920.01.15-Miller.pdf
1101,1919,12,unprovoked,Male,29,No,queensland,brible island,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.12.30.R-Brothy.pdf
1102,1919,12,unprovoked,Male,47,Yes,new south wales,"pelican island, macleay river",1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.12.07-Ridley.pdf
1103,1919,11,unprovoked,Male,unknown,No,northern territory,darwin,5.0,-12.46044,130.8410469,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.11.18-sailor.pdf
1104,1919,3,unclear,Male,unknown,Missing,new south wales,sydney harbor,10.0,44.0156514,-121.2831965,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.03.16-Cadets.pdf
1105,1919,1,unprovoked,Male,unknown,No,new south wales,newcastle beach,3.0,-32.93076175,151.78509594452277,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.01.17-Arkell.pdf
1106,1919,1,unprovoked,Male,13,Yes,new south wales,"sirius cove, sydney harbor",2.0,-33.8548157,151.2164539,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.01.09-Simpson.pdf
1107,1919,1,unprovoked,Male,38,Yes,queensland,"ross river, townsville",7.0,-19.3090595,146.7688108,http://sharkattackfile.net/spreadsheets/pdf_directory/1919.01.05-Hoey.pdf
1108,1918,9,unprovoked,Male,22,Yes,queensland,townsville,6.0,-19.2569391,146.8239537,http://sharkattackfile.net/spreadsheets/pdf_directory/1918.09.19-Bartlett.pdf
1109,1918,3,unprovoked,Male,unknown,No,new south wales,newcastle,5.0,-32.9192953,151.7795348,http://sharkattackfile.net/spreadsheets/pdf_directory/1918.03.22-Cook.pdf
1110,1918,0,unprovoked,Male,unknown,No,queensland,near cairns,1.0,-16.9038133,145.711053,http://sharkattackfile.net/spreadsheets/pdf_directory/1918.00.00-Asai.pdf
1111,1917,12,unprovoked,Male,unknown,No,western australia,port hedland,1.0,-20.3111814,118.5801181,http://sharkattackfile.net/spreadsheets/pdf_directory/1917.12.15-Dean.pdf
1112,1916,12,unprovoked,Male,25,No,queensland,"yeppoon, near ross creek",2.0,-23.1348035,150.7436625,http://sharkattackfile.net/spreadsheets/pdf_directory/1916.12.30-Ford.pdf
1113,1916,12,unprovoked,Male,41,Yes,new south wales,"seven shillings beach, middle harbor, sydney (estuary)",2.0,-33.8548157,151.2164539,http://sharkattackfile.net/spreadsheets/pdf_directory/1916.12.08.a-b-German.pdf
1114,1916,12,unprovoked,Female,unknown,No,new south wales,"seven shillings beach, middle harbor, sydney (estuary)",2.0,-33.8548157,151.2164539,http://sharkattackfile.net/spreadsheets/pdf_directory/1916.12.08.a-b-German.pdf
1115,1916,11,unprovoked,Male,unknown,Yes,queensland,townsville,6.0,-19.2569391,146.8239537,http://sharkattackfile.net/spreadsheets/pdf_directory/1916.11.10-Gregson.pdf
1116,1916,11,unprovoked,Male,27,Yes,queensland,"kissing point camp, townsville",1.0,-19.2569391,146.8239537,http://sharkattackfile.net/spreadsheets/pdf_directory/1916.11.09-Poultney.pdf
1117,1916,4,unprovoked,Male,unknown,Yes,new south wales,manley beach,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1916.04.25.R-Harrington.pdf
1118,1916,4,unprovoked,Male,17,Yes,victoria,carrum,1.0,-38.0769786,145.1229404,http://sharkattackfile.net/spreadsheets/pdf_directory/1916.04.03-Robinson-McNeill.pdf
1119,1916,3,unprovoked,Male,unknown,No,new south wales,curl curl,1.0,-33.7698341,151.2898175,http://sharkattackfile.net/spreadsheets/pdf_directory/1916.03.19-Robinson.pdf
1120,1915,12,unprovoked,Male,unknown,No,queensland, thursday island,1.0,-10.578645850000001,142.21892059042744,http://sharkattackfile.net/spreadsheets/pdf_directory/1915.12.09.R-JapaneseDiver.pdf
1121,1915,11,unprovoked,Male,10,No,queensland,"cabbage tree creek, sandgate",1.0,-27.332647,153.0663192,http://sharkattackfile.net/spreadsheets/pdf_directory/1915.11.10-Gleeson.pdf
1122,1915,11,unprovoked,Male,unknown,No,new south wales,manly,2.0,-33.7971937,151.2879845,http://sharkattackfile.net/spreadsheets/pdf_directory/1915.11.08-Rebecchi.pdf
1123,1915,3,unprovoked,Male,unknown,No,queensland,near thursday island,9.0,-10.5844089,142.2192935,http://sharkattackfile.net/spreadsheets/pdf_directory/1915.03.29-Hana.pdf
1124,1915,2,unprovoked,Male,unknown,No,queensland,wynnum-manley,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1915.02.06-Stanton.pdf
1125,1915,1,unprovoked,Male,17,Yes,new south wales,"sirius cove, sydney harbor",2.0,-33.8548157,151.2164539,http://sharkattackfile.net/spreadsheets/pdf_directory/1915.01.01-Tooze.pdf
1126,1914,12,unprovoked,Male,unknown,No,queensland,magnetic island,2.0,-19.1421421,146.83354856403196,http://sharkattackfile.net/spreadsheets/pdf_directory/1914.12.04.R-Steinstecke.pdf
1127,1914,6,unprovoked,Male,43,Yes,victoria,sandringham,1.0,-37.967412249999995,145.03530252814454,http://sharkattackfile.net/spreadsheets/pdf_directory/1914.06.10-Croxford.pdf
1128,1914,2,unprovoked,Male,unknown,No,south australia,marion bay,1.0,-35.238043,136.9790673,http://sharkattackfile.net/spreadsheets/pdf_directory/1914.02.09.R-Hasell.pdf
1129,1914,2,unprovoked,Male,unknown,No,new south wales,paramatta river,1.0,-34.04110345,137.62971320011115,http://sharkattackfile.net/spreadsheets/pdf_directory/1914.02.03-Dabbs.pdf
1130,1914,1,unprovoked,Female,unknown,No,queensland,brisbane,6.0,-27.4689682,153.0234991,http://sharkattackfile.net/spreadsheets/pdf_directory/1914.01.17.R-Schmidt.pdf
1131,1913,11,unprovoked,Male,12,No,queensland,"sandgate jetty, brisbane",1.0,-27.4689682,153.0234991,http://sharkattackfile.net/spreadsheets/pdf_directory/1913.11.21-Boucher.pdf
1132,1913,5,provoked,Male,unknown,No,new south wales,unknown,unknown,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1913.05.02-Moss.pdf
1133,1913,1,unprovoked,Male,unknown,No,queensland,thursday island,8.0,-10.578645850000001,142.21892059042744,http://sharkattackfile.net/spreadsheets/pdf_directory/1913.01.00-Treacle.pdf
1134,1913,0,unprovoked,Male,unknown,No,victoria,brighton,2.0,-37.9081962,144.9957991,http://sharkattackfile.net/spreadsheets/pdf_directory/1913.00.00.a-youth.pdf
1135,1912,2,provoked,Male,unknown,No,western australia,bunbury,7.0,-33.3267797,115.636698,http://sharkattackfile.net/spreadsheets/pdf_directory/1912.02.22-Swanson.pdf
1136,1912,2,unprovoked,Male,18,No,new south wales,coogee,6.0,-33.9217004,151.2557975,http://sharkattackfile.net/spreadsheets/pdf_directory/1912.02.19-Wort.pdf
1137,1912,1,unprovoked,Male,21,Yes,new south wales,"fig tree bridge, lane cove river, near sydney ",1.0,-33.8548157,151.2164539,http://sharkattackfile.net/spreadsheets/pdf_directory/1912.01.26-Morgan.pdf
1138,1912,1,unprovoked,Male,unknown,No,new south wales,sydney harbor,10.0,44.0156514,-121.2831965,http://sharkattackfile.net/spreadsheets/pdf_directory/1912.01.06-Sydney.pdf
1139,1912,1,unprovoked,Male,unknown,Yes,queensland,ross creek,2.0,-19.2559425,146.8263741,http://sharkattackfile.net/spreadsheets/pdf_directory/1912.01.01-Tristing.pdf
1140,1911,10,unprovoked,Male,23,No,queensland,great barrier reef,6.0,-16.35,145.9,http://sharkattackfile.net/spreadsheets/pdf_directory/1911.10.25-Toby.pdf
1141,1911,3,unprovoked,Male,unknown,Yes,queensland,thursday island,8.0,-10.578645850000001,142.21892059042744,http://sharkattackfile.net/spreadsheets/pdf_directory/1911.03.29.R-ThursdayIsland.pdf
1142,1911,1,unprovoked,Male,22,No,western australia,off legendre island,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1911.01.04-Katola.pdf
1143,1910,12,unprovoked,Male,unknown,Yes,western australia,fremantle,3.0,-32.0558714,115.7461693,http://sharkattackfile.net/spreadsheets/pdf_directory/1910.12.23.R-Anderson.pdf
1144,1910,11,unprovoked,Male,unknown,No,queensland,mackay,1.0,-21.141956,149.1865149,http://sharkattackfile.net/spreadsheets/pdf_directory/1910.11.24-Smith.pdf
1145,1910,2,unprovoked,Male,unknown,No,western australia,bunbury,7.0,-33.3267797,115.636698,http://sharkattackfile.net/spreadsheets/pdf_directory/1910.02.16-Cridland.pdf
1146,1910,1,unprovoked,Male,unknown,Yes,new south wales,newcastle harbor,2.0,-32.9192953,151.7795348,http://sharkattackfile.net/spreadsheets/pdf_directory/1910.01.26-Clulow.pdf
1147,1909,12,unprovoked,Male,unknown,Yes,new south wales,20 miles off sydney,1.0,-33.8548157,151.2164539,http://sharkattackfile.net/spreadsheets/pdf_directory/1909.12.15.R-Witt.pdf
1148,1909,12,provoked,Male,unknown,No,new south wales,bondi,5.0,-33.8930556,151.2633333,http://sharkattackfile.net/spreadsheets/pdf_directory/1909.12.05-Fisherman.pdf
1149,1909,6,unprovoked,Male,unknown,Yes,queensland,"middleton reef, 300 nm from brisbane",1.0,-27.4689682,153.0234991,http://sharkattackfile.net/spreadsheets/pdf_directory/1909.06.18-Errol.pdf
1150,1909,0,unprovoked,Missing,unknown,No,new south wales,woy woy,1.0,-33.4880548,151.3274925,http://sharkattackfile.net/spreadsheets/pdf_directory/1909.00.00-WoyWoy.pdf
1151,1908,9,unprovoked,Male,unknown,Yes,queensland,thursday island,8.0,-10.578645850000001,142.21892059042744,http://sharkattackfile.net/spreadsheets/pdf_directory/1908.09.21-KongChoongTing.pdf
1152,1907,12,unprovoked,Male,unknown,Yes,new south wales,"middle harbour, sugarloaf bay, sydney (estuary)",1.0,-33.8548157,151.2164539,http://sharkattackfile.net/spreadsheets/pdf_directory/1907.12.21-Jones.pdf
1153,1907,10,unprovoked,Male,unknown,Yes,queensland,near thursday island,9.0,-10.5844089,142.2192935,http://sharkattackfile.net/spreadsheets/pdf_directory/1907.10.18.R-male-Teazer.pdf
1154,1907,10,unprovoked,Male,unknown,No,new south wales,"merewether beach, near newcastle",1.0,-32.9192953,151.7795348,http://sharkattackfile.net/spreadsheets/pdf_directory/1907.10.14-Nolan.pdf
1155,1907,7,unclear,Male,unknown,Missing,queensland,karra garra,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1907.07.04-R-Atkins.pdf
1156,1907,2,unprovoked,Male,18,Yes,queensland,ross creek,2.0,-19.2559425,146.8263741,http://sharkattackfile.net/spreadsheets/pdf_directory/1907.02.03-Williams.pdf
1157,1906,9,unprovoked,Male,unknown,Yes,queensland,mabiuag,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1906.09.05.R-Smith.pdf
1158,1906,4,provoked,Male,unknown,No,victoria,western port bay,1.0,-38.38234395,145.46832430513143,http://sharkattackfile.net/spreadsheets/pdf_directory/1906.04.16-Clarke.pdf
1159,1906,4,unprovoked,Male,17,Yes,queensland,lizard island,3.0,-14.6683188,145.4609161,http://sharkattackfile.net/spreadsheets/pdf_directory/1906.04.14-Charley.pdf
1160,1906,4,unclear,Male,18,Missing,new south wales,moodie beach,1.0,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/1906.04.02.R-Mills.pdf
1161,1906,1,unprovoked,Male,32,Yes,new south wales,georges river,2.0,-34.0392423,150.8946067,http://sharkattackfile.net/spreadsheets/pdf_directory/1906.01.28-Dobson.pdf
1162,1905,12,unclear,Male,unknown,Missing,western australia,geraldton,4.0,-28.77035,114.6147159,http://sharkattackfile.net/spreadsheets/pdf_directory/1905.12.29-Carroll.pdf
1163,1905,9,unprovoked,Male,unknown,Yes,new south wales,"waverly, sydney",1.0,-34.0012603,151.0464171,http://sharkattackfile.net/spreadsheets/pdf_directory/1905.09.29-Crotty.pdf
1164,1905,3,unprovoked,Male,40,No,new south wales,lismore,1.0,-28.79363905,153.26708675122956,http://sharkattackfile.net/spreadsheets/pdf_directory/1905.03.26-Owen.pdf
